nohup: ignoring input
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
23 1759217597.8102984 0.06193089485168457
24 1759217597.8813617 0.07099676132202148
25 1759217597.9456098 0.06416869163513184
26 1759217598.021406 0.07566285133361816
27 1759217598.1669905 0.14545845985412598
28 1759217598.2449934 0.07787680625915527
29 1759217598.3175483 0.07243084907531738
30 1759217598.4136767 0.09600424766540527
31 1759217598.498294 0.08449864387512207
32 1759217598.5907786 0.0923459529876709
33 1759217598.6761 0.08522462844848633
34 1759217598.7578146 0.08156991004943848
35 1759217598.8428545 0.08496952056884766
36 1759217598.9314122 0.08848309516906738
37 1759217599.0052977 0.07381486892700195
38 1759217599.0730479 0.06766557693481445
39 1759217599.1523747 0.07925200462341309
40 1759217599.2297502 0.07729911804199219
41 1759217599.304392 0.07456469535827637
42 1759217599.3960795 0.09158492088317871
43 1759217599.4748757 0.0786898136138916
44 1759217599.5625784 0.08759212493896484
45 1759217599.6369357 0.07424616813659668
46 1759217599.7056065 0.06856989860534668
47 1759217599.7978742 0.09215831756591797
48 1759217599.8707995 0.07284760475158691
49 1759217600.029909 0.15900874137878418
50 1759217600.0909107 0.06093263626098633
51 1759217600.1570148 0.06603312492370605
52 1759217600.223281 0.06619620323181152
53 1759217600.308019 0.08465385437011719
54 1759217600.3741915 0.06607174873352051
55 1759217600.4522471 0.07796931266784668
56 1759217600.5234075 0.07104706764221191
57 1759217600.5973263 0.07379150390625
58 1759217600.6608276 0.06339645385742188
59 1759217600.7510629 0.09011578559875488
60 1759217600.8216333 0.07038140296936035
61 1759217600.9156775 0.09392213821411133
62 1759217600.9807062 0.06491422653198242
63 1759217601.071366 0.09057140350341797
64 1759217601.1445677 0.0730891227722168
65 1759217601.2119367 0.06731176376342773
66 1759217601.2963498 0.08429574966430664
67 1759217601.3747883 0.07835578918457031
68 1759217601.4407551 0.06589007377624512
69 1759217601.5147614 0.07393860816955566
70 1759217601.5804987 0.06564903259277344
71 1759217601.6598186 0.07922935485839844
72 1759217601.744132 0.08423423767089844
73 1759217601.817349 0.07308053970336914
74 1759217601.8955884 0.07811188697814941
75 1759217601.9657252 0.07000851631164551
76 1759217602.0712528 0.10543608665466309
77 1759217602.149326 0.07797527313232422
78 1759217602.249009 0.09956908226013184
79 1759217602.319098 0.06996631622314453
80 1759217602.4021182 0.08287382125854492
81 1759217602.4703808 0.06814050674438477
82 1759217602.5552557 0.08477592468261719
83 1759217602.6267304 0.0713968276977539
84 1759217602.7033277 0.07651925086975098
85 1759217602.7653317 0.06188464164733887
86 1759217602.8419054 0.07649731636047363
87 1759217602.9206855 0.07869887351989746
88 1759217603.0007665 0.07996964454650879
89 1759217603.1501195 0.14923810958862305
90 1759217603.227068 0.07675957679748535
91 1759217603.309569 0.08234715461730957
92 1759217603.3924167 0.08273816108703613
93 1759217603.4837596 0.09123086929321289
94 1759217603.5493195 0.06546354293823242
95 1759217603.6246526 0.07525992393493652
96 1759217603.691836 0.06711030006408691
97 1759217603.762309 0.07036137580871582
98 1759217603.8276606 0.0652165412902832
